lang_pair,key_word,translation,POS,SIPlang,Endirection,l1_wordlength,l2_wordlength,tt_seen_p,tt_right_p,nr_grammar_tags,this_POS_prop,propcorr_p,userexperience_log,ld,human_conc,neighbour_overlap,local_alignment_d1,local_alignment_d2,local_alignment_avg,local_alignment_diff,semantic_density_l1,semantic_density_l2,semantic_density_diff,conc_est_l2,conc_est_l1,l2_freq_wfzipf,l1_freq_wfzipf,l2_nrsynsets_wn,l1_nrsynsets_wn,wordexperience_log,userexperience_log,l1_nrsynsets_log,l2_nrsynsets_log,diff_l1_minus_l2_semantic_density,diff_l1_minus_l2_nrsynsets_log,diff_l1_minus_l2_freq_wfzipf
en_from_es,a,un,Functionword,es,learners,2,1,72.48928168,64.90964648,1,1,0.885917811,948.8676664,0,1.46,13,0.310864109,0.55704645,0.433955279,-0.246182341,337.4472133,329.9620208,7.485192457,3.159700764,2.88157442,7.36,7.06,7,0,3.782484806,6.038389879,0,2.079441542,7.485192457,-2.079441542,-0.3
en_from_es,able,capaz,Adjective,es,learners,5,4,12.45528455,8.56097561,1,1,0.763570303,14165.34959,0.2,2.38,14,0.246489611,0.24837125,0.24743043,-0.00188164,305.2982071,316.0306917,-10.73248469,2.778375343,2.617649421,5.42,5,4,14,2.133832384,8.65217517,2.708050201,1.609437912,-10.73248469,1.098612289,-0.42
en_from_es,about,sobre,Functionword,es,learners,5,5,10.83153639,9.393530997,2,0.848417683,0.883066914,4289.762803,0,1.77,6,0.148231733,0.225834047,0.18703289,-0.077602314,298.448261,308.1492956,-9.701034636,3.096691743,3.049813765,6.38,6.25,8,1,1.953714782,7.526461707,0.693147181,2.197224577,-9.701034636,-1.504077397,-0.13
en_from_es,abroad,extranjero,Adverb,es,learners,10,6,8.173515982,6.799086758,1,1,0.834854489,11083.03196,0.1,2.72,12,0.381537987,0.342727385,0.362132686,0.038810602,299.1682213,257.1865812,41.98164011,2.929886099,2.828820945,4.44,4.73,4,4,1.842272866,8.301841301,1.609437912,1.609437912,41.98164011,0,0.29
en_from_es,absence,ausencia,Noun,es,learners,8,7,7.48,6.94,1,1,0.917479811,18806.38,0.625,2.31,16,0.643038091,0.670257058,0.656647575,-0.027218967,299.8983765,303.1058444,-3.207467876,2.938946712,2.677102413,4.47,4.59,4,3,1.790957675,9.139527147,1.386294361,1.609437912,-3.207467876,-0.223143551,0.12
en_from_es,absolutely,absolutamente,Adverb,es,learners,13,10,7.829959514,7.340080972,1,1,0.937990114,8649.421053,0.615,1.97,19,0.483987,0.431736021,0.457861511,0.052250979,338.829976,346.1042159,-7.27423989,2.868077358,2.38697076,4.9,4.61,2,0,1.868890685,8.051124317,0,1.098612289,-7.27423989,-1.098612289,-0.29
en_from_es,accept,aceptar,Verb,es,learners,7,6,7.831325301,6.903614458,1,1,0.861861955,12773.49398,0.571,3.03,22,0.159335967,0.501552253,0.33044411,-0.342216286,324.1233537,275.4985319,48.62482186,2.898556397,2.480235859,4.87,4.76,11,8,1.859314561,8.707404251,2.197224577,2.48490665,48.62482186,-0.287682072,-0.11
en_from_es,access,acceso,Noun,es,learners,6,6,6.03030303,5.924242424,2,0.990243902,0.977380952,14313.74242,0.833,2.71,18,0.380785292,0.341058162,0.360921727,0.03972713,251.0281496,257.417777,-6.38962732,3.043506698,3.008979723,5.05,5.11,8,9,1.637350884,8.89360858,2.302585093,2.197224577,-6.38962732,0.105360516,0.06
en_from_es,accident,accidente,Noun,es,learners,9,8,14.68867925,12.75471698,1,1,0.864312348,17747.83019,0.889,3.26,24,0.647195549,0.518353672,0.582774611,0.128841877,267.2471583,260.2100879,7.037070412,3.270848682,3.417906886,4.73,4.63,2,3,2.47248207,8.963545782,1.386294361,1.098612289,7.037070412,0.287682072,-0.1
en_from_es,account,cuenta,Noun,es,learners,6,7,5.625,5.5625,1,1,0.986049107,14683.15625,0.286,3.08,6,-0.014788164,0.190502577,0.087857207,-0.205290741,277.4807323,256.7573217,20.7234106,3.171527799,3.168105059,5.22,5.75,14,7,1.570657129,8.830200646,2.079441542,2.708050201,20.7234106,-0.628608659,0.53
